5,1,바르고 떳떳하게,1,평점,오늘 하루 동안은 정직하고 진실된 말들만 해 봅시다.,,20190624
5,1,바르고 떳떳하게,2,영상자료,초등학생들을 대상으로 한 정직 실험을 보고 정직에 대해 생각해 봅시다.,https://clipbank.ebs.co.kr/clip/view?clipId=VOD_20111026_00033,20190624
5,1,바르고 떳떳하게,3,평점,정직한 친구들을 찾아보고 이에 대해 칭찬을 해 봅시다.,,20190624
5,1,바르고 떳떳하게,4,평점,오늘은 보는 사람이 없더라도 규칙과 1인 1역할을 잘 지키도록 해 봅시다.,,20190624
5,1,바르고 떳떳하게,5,평점,내가 실수한 것이 생기더라도 스스로 인정해봅시다.,,20190624
5,1,바르고 떳떳하게,6,평점,정직한 행동을 했을 때와 그렇지 않았을 때의 내 마음고 감정을 떠올려봅시다. ,,20190624
5,1,바르고 떳떳하게,7,영상자료,정직과 허풍에 관한 숙어들을 알아보는 영상을 살펴봅시다.,https://clipbank.ebs.co.kr/clip/view?clipId=VOD_20120327_00096,20190624
5,1,바르고 떳떳하게,8,평점,주변에 정직을 실천하는 사람들을 떠올려 보고 그 사람들이 어떻게 행동하는지 관찰해 봅시다.,,20190624
5,1,바르고 떳떳하게,9,영상자료,도덕성과 정직에 관한 실험 영상을 살펴보고 정직에 대해 생각해 봅시다.,https://clipbank.ebs.co.kr/clip/view?clipId=VOD_20111026_00049,20190624
5,1,바르고 떳떳하게,10,서술,다른 사람에 대한 정직을 위해 실천할 수 있는 일은 무엇이 있을까요?,,20190624
5,2,내 안의 소중한 친구,1,평점,오늘의 감정을 친구들에게 표현해 봅시다.,,20190624
5,2,내 안의 소중한 친구,2,서술,감정과 욕구가 없다면 어떻게 될까요?,,20190624
5,2,내 안의 소중한 친구,3,영상자료,나 전달법으로 감정을 표현하는 방법을 영상을 통해 알아봅시다.,https://clipbank.ebs.co.kr/clip/view?clipId=VOD_20170909_00029,20190624
5,2,내 안의 소중한 친구,4,평점,감정과 욕구를 조절하지 않아 내가 상처를 주었던 사람에게 사과의 말들을 전달하여 봅시다.,,20190624
5,2,내 안의 소중한 친구,5,서술,"내가 가지고 싶은 감정은 어떤 감정인가요, 그리고 어떤 조건이 필요할까요?",,20190624
